codigo;escola;longitude;latitude
13082175;EE Antogildo Pascoal Viana;-60,015961;-3,0310922
13082183;EE Antonio Nunez Jimenez;-59,937601;-3,0778362
13084232;EE Prof. Octavio Mourao;-60,016045;-2,981471
13083694;EE Ernesto Pinho Filho;-59,990479;-3,0171188
13084445;EE Manuel Rodrigues de Souza;-59,936871;-3,0945735
13083295;EE Prof. Samuel Benchimol;-59,987575;-3,0034742
13084402;EE Prof. Ruy Alencar;-59,974285;-3,0070835
13083724;EE Belarmino Marreiro;-59,964215;-3,0507554
13082167;Anexo da EE Josephina de Melo - Raimundo Parente;-59,969221;-3,0303728
13082167;Anexo da EE Josephina de Melo - Dagmar Feitosa;-60,035045;-3,0786177
13082167;Anexo da EE Josephina de Melo - Marise Mendes;-60,029704;-3,075199
13084860;EE Profa. Ruth Prestes Goncalves;-59,979354;-3,0293333
13087843;EE Profa. Adelaide Tavares de Macedo;-60,034482;-3,0733065
13090232;EE Raimunda Holanda de Souza;-59,942521;-3,0389403
13093177;EE Jairo da Silva Rocha;-59,936076;-3,0666076
13095641;EE Profa. Wilma Vitoriano Geber;-59,95263728;-3,013948712
13095633;EE Prof. Ernane Nascimento Simao;-59,928231;-3,0759231
13095099;EE Prof. Demostenes Belduque Araujo Travessa;-59,925622;-3,0297521
13258214;EETI Rafaiel Henrique Pinheiro dos Santos;-60,024515;-3,0037213
13095722;EE Prof. Sebastiao Augusto Loureiro Filho;-59,988744;-2,9876089
13131206;EE Profa. Tereza Siqueira Tupinamba;-59,971713;-2,9992362
13245201;EE Frei Mario Monacelli;-59,953608;-3,0102547
13257218;EE Profa. Ana Lucia de Moraes Costa E Silva;-60,011901;-3,0153629
13246208;EE Aurea Pinheiro Braga;-59,927478;-3,0754197
13259202;EE Profa. HaydEE Cabral Lyra;-59,980714;-2,9930242
13257226;EE Senador Jefferson Carpinteiro Peres;-59,973704;-2,9955751
13241281;EE Raio de Sol;-59,971196;-3,0104802
13260200;EE Ayrton Senna;-59,988682;-2,9866059
13304232;EE Ana Neire Marques da Silva;-59,988554;-3,0143361
13304240;EE Dra Zilda Arns Neumann;-59,984227;-2,99112
13314211;EETI Irma Gabrielle Cogels;-59,845551;-3,0592023
13304259;CETI Prof. Garcitylzo Do Lago E Silva;-60,042749;-3,0139389
13304267;CETI Dra Zilda Arns Neumann;-60,02277;-3,0029785
13304224;EE Marcantonio Vilaca Ii;-60,003942;-3,0384901
13313215;CETI Joao Dos Santos Braga;-59,989724;-2,9870965
13102320;CETI Aurea Pinheiro Braga;-60,05964;-3,0932821
13096583;EE Profa. Cecilia Ferreira da Silva;-59,922803;-3,0326761
13096575;CETI Elisa Bessa Freire;-59,93841;-3,0375358
